domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
google.com.,142.250.190.142,142.250.190.142,98,300
akadns.net.,,,-1,-1
gstatic.com.,172.217.4.67,142.250.190.67,46,300
facebook.com.,157.240.26.35,157.240.26.35,60,60
microsoft.com.,13.107.213.51 13.107.246.51,13.107.246.51 13.107.213.51,3447,644
akamai.com.,23.200.133.6 23.200.133.42,23.218.93.224 23.218.93.200,20,17
whatsapp.net.,157.240.26.54,157.240.26.54,60,60
apple.com.,17.253.144.10,17.253.144.10,225,162
fbcdn.net.,157.240.26.35,157.240.26.35,60,60
play.googleapis.com.,216.239.36.223 216.239.32.223 216.239.34.223 216.239.38.223,216.239.34.223 216.239.36.223 216.239.32.223 216.239.38.223,53,300
googleusercontent.com.,172.217.5.1,142.250.190.97,57,300
bing.com.,150.171.27.10 150.171.28.10,150.171.27.10 150.171.28.10,1929,48
microsoftonline.com.,,,-1,-1
doubleclick.net.,142.250.190.14,142.250.190.14,148,148
digicert.com.,45.60.131.229 45.60.121.229,45.60.131.229 45.60.121.229,148,107
akamai-zt.com.,,,-1,-1
office.com.,13.107.6.156,13.107.6.156,149,145
ytimg.com.,,,-1,-1
update.googleapis.com.,142.250.191.163,142.250.191.195,21,300
msn.com.,204.79.197.219,204.79.197.219,3449,45
googleapis.com.,142.250.190.68,142.250.190.100,189,300
www.googleapis.com.,142.250.191.106 142.250.190.74 142.250.191.138 172.217.4.202 142.250.191.202 172.217.2.42 172.217.4.42 142.250.191.234 142.250.190.10 172.217.1.106 142.250.190.138 142.250.190.106 142.251.32.10 142.250.190.42 142.250.191.170,142.250.191.202 142.250.190.10 142.250.190.42 142.251.32.10 142.251.34.234 142.250.191.106 142.250.191.170 142.250.190.106 172.217.2.42 142.250.190.138 172.217.4.42 172.217.1.106 172.217.4.202 142.250.191.138 142.250.191.234 142.250.190.74,90,300
app-measurement.com.,142.250.191.238,142.250.191.174,293,148
skype.com.,20.70.246.20 20.236.44.162 20.231.239.246 20.76.201.171 20.112.250.133,20.236.44.162 20.70.246.20 20.231.239.246 20.112.250.133 20.76.201.171,3448,786
office.net.,,,-1,-1
akamai.net.,,,-1,-1
youtube.com.,172.217.4.46,172.217.4.206,25,300
windows.com.,20.231.239.246 20.236.44.162 20.112.250.133 20.76.201.171 20.70.246.20,20.70.246.20 20.76.201.171 20.112.250.133 20.236.44.162 20.231.239.246,3449,1700
aaplimg.com.,,,-1,-1
instagram.com.,157.240.26.174,157.240.26.174,60,60
icloud.com.,17.253.144.10,17.253.144.10,59,544
cloud.microsoft.,20.76.201.171 20.231.239.246 20.70.246.20 20.112.250.133 20.236.44.162,20.231.239.246 20.70.246.20 20.236.44.162 20.112.250.133 20.76.201.171,149,286
officeapps.live.com.,52.108.8.12 52.108.9.12,52.108.8.12 52.108.9.12,48,38
apple-dns.net.,,,-1,-1
safebrowsing.googleapis.com.,142.250.191.170,142.250.191.234,83,300
ntp.org.,204.93.207.22,204.93.207.22,3450,138
optimizationguide-pa.googleapis.com.,142.251.32.10 142.250.191.138 142.250.191.202 142.250.190.10 142.250.191.106 142.250.190.106 142.250.190.74 142.250.190.42 172.217.5.10 142.250.191.234 142.250.190.138 172.217.4.74 142.250.191.170 172.217.1.106 142.251.34.234,142.250.190.106 142.251.32.10 172.217.2.42 142.250.190.74 142.250.190.10 142.250.190.138 172.217.4.42 142.250.191.202 142.250.190.42 172.217.1.106 172.217.5.10 142.250.191.106 142.250.191.138 142.250.191.234 142.250.191.170,236,300
windowsupdate.com.,,,-1,-1
gvt2.com.,,,-1,-1
maersk.io.,165.160.13.20 165.160.15.20,165.160.13.20 165.160.15.20,150,300
googlevideo.com.,172.217.1.100,142.251.32.4,150,300
youtubei.googleapis.com.,216.239.32.223 216.239.34.223 216.239.36.223 216.239.38.223,216.239.34.223 216.239.36.223 216.239.38.223 216.239.32.223,274,300
clientservices.googleapis.com.,142.250.190.99,142.250.191.195,46,300
cloudflare.com.,104.16.132.229 104.16.133.229,104.16.132.229 104.16.133.229,150,300
akamaiedge.net.,,,-1,-1
esc5.net.,54.208.31.49,54.208.31.49,450,600
googlesyndication.com.,142.250.190.4,142.250.191.164,151,300
tiktokv.com.,23.38.109.155 23.38.109.153 23.38.109.131 23.38.109.156 23.38.109.145 23.38.109.138 23.38.109.154 23.38.109.139 23.38.109.134,104.119.188.96 104.119.188.8 104.119.188.65 104.119.188.57 104.119.188.58 104.119.188.91 104.119.188.59 104.119.188.83 104.119.188.50,20,1
windows.net.,20.70.246.20 20.236.44.162 20.112.250.133 20.76.201.171 20.231.239.246,20.76.201.171 20.236.44.162 20.231.239.246 20.112.250.133 20.70.246.20,3451,2346
cib.com.cn.,,,-1,-1
notifications-pa.googleapis.com.,142.251.34.234 142.250.190.42 142.250.190.10 172.217.4.202 142.250.191.234 172.217.1.106 142.250.190.106 142.251.32.10 172.217.2.42 142.250.191.170 142.250.190.74 142.250.191.138 142.250.191.106 142.250.190.138 142.250.191.202,142.250.190.42 142.250.191.138 142.250.191.202 142.250.190.74 142.250.191.234 142.250.191.106 172.217.4.74 142.250.190.138 142.251.32.10 142.250.191.170 172.217.5.10 172.217.1.106 142.250.190.10 142.251.34.234 172.217.2.42 142.250.190.106,30,300
appsflyersdk.com.,18.160.102.58 18.160.102.87 18.160.102.127 18.160.102.32,18.160.102.87 18.160.102.127 18.160.102.58 18.160.102.32,60,60
amazonaws.com.,72.21.206.80 72.21.210.29 207.171.166.22,207.171.166.22 72.21.210.29 72.21.206.80,752,126
gvt1.com.,,,-1,-1
office365.com.,40.112.243.53 20.119.0.28,40.112.243.53 20.119.0.28,2166,1175
googletagmanager.com.,142.251.32.8,142.250.190.72,151,300
play-fe.googleapis.com.,142.250.190.46,172.217.2.46,269,300
login.live.com.,20.190.157.0 40.126.29.10 40.126.29.8 20.190.157.4 40.126.29.9 20.190.157.12 20.190.157.14 40.126.29.7,20.190.155.65 20.190.155.1 20.190.155.131 20.190.155.16 20.190.155.67 40.126.27.66 20.190.155.130 20.190.155.2,129,136
googleadservices.com.,142.250.190.34,142.250.190.34,151,300
akamaized.net.,,,-1,-1
adobedtm.com.,,,-1,-1
firebaselogging-pa.googleapis.com.,142.250.191.138 172.217.1.106 142.250.191.202 172.217.2.42 142.251.32.10 142.250.190.42 142.250.191.234 172.217.4.74 142.250.191.170 142.250.190.10 172.217.4.42 142.250.190.74 172.217.5.10 142.251.34.234 142.250.191.106 142.250.190.138,172.217.4.74 142.250.190.138 142.250.191.202 172.217.1.106 142.250.190.42 172.217.2.42 172.217.5.10 142.250.190.74 142.250.191.138 142.250.190.10 142.250.191.106 142.251.34.234 142.251.32.10 142.250.190.106 142.250.191.170 142.250.191.234,86,300
android.googleapis.com.,216.239.34.223 216.239.32.223 216.239.36.223 216.239.38.223,216.239.34.223 216.239.32.223 216.239.36.223 216.239.38.223,245,152
firebaseremoteconfig.googleapis.com.,172.217.4.74 172.217.4.202 142.250.191.106 142.250.190.10 172.217.2.42 142.250.190.74 142.250.190.106 142.250.191.138 142.250.190.138 142.251.34.234 142.250.191.234 142.250.191.202 142.250.191.170 172.217.4.42 142.251.32.10 142.250.190.42,142.250.190.10 142.250.191.138 142.250.190.138 142.250.190.42 142.251.32.10 142.250.191.106 142.250.191.234 142.250.190.74 142.250.190.106 172.217.5.10 142.251.34.234 172.217.4.42 142.250.191.170 142.250.191.202,164,300
tiktokcdn.com.,,,-1,-1
fonts.googleapis.com.,142.250.190.106,142.250.190.42,18,300
google-analytics.com.,142.250.191.100,142.250.191.100,300,300
ggpht.com.,,,-1,-1
crashlytics.com.,216.239.32.29,216.239.32.29,153,300
content-autofill.googleapis.com.,142.250.190.138 142.250.191.106 142.251.32.10 142.250.191.234 142.250.191.170 142.250.190.74 142.250.191.202 142.251.34.234 142.250.190.106 172.217.5.10 172.217.4.42 142.250.190.42 172.217.2.42 142.250.191.138 172.217.1.106 142.250.190.10,142.250.191.106 172.217.4.74 142.250.190.10 142.250.190.138 142.250.191.138 172.217.1.106 142.250.190.74 172.217.5.10 142.250.191.170 142.250.191.202 172.217.2.42 142.251.34.234 142.250.191.234 142.250.190.42 142.251.32.10 142.250.190.106,3,300
static.microsoft.,,,-1,-1
line-apps.com.,10.233.124.212,10.233.124.212,60,60
sfx.ms.,,,-1,-1
azure.com.,20.112.250.133 20.236.44.162 20.70.246.20 20.76.201.171 20.231.239.246,20.236.44.162 20.70.246.20 20.112.250.133 20.76.201.171 20.231.239.246,3452,2560
prod-lt-playstoregatewayadapter-pa.googleapis.com.,172.217.5.10 142.250.191.106 142.251.32.10 142.250.190.10 172.217.4.42 142.250.190.42 142.250.191.138 172.217.2.42 172.217.1.106 142.250.191.202 142.250.190.74 142.250.191.170 142.251.34.234 142.250.190.138 142.250.191.234 142.250.190.106,142.250.191.170 172.217.1.106 142.250.190.10 172.217.2.42 142.250.190.42 172.217.4.42 142.250.190.138 142.251.32.10 172.217.4.74 142.250.191.234 142.250.191.202 142.250.190.106 142.250.190.74 142.250.191.106 172.217.4.202 142.250.191.138,92,300
fastly-edge.com.,,,-1,-1
churchofjesuschrist.org.,216.49.176.20,216.49.176.20,60,60
firebaseinstallations.googleapis.com.,172.217.5.10 172.217.2.42 142.250.191.202 142.251.34.234 142.250.190.74 142.250.191.106 142.250.190.10 172.217.4.202 172.217.4.42 142.250.190.106 142.250.191.234 142.251.32.10 142.250.191.170 142.250.190.138 172.217.4.74 142.250.191.138,172.217.4.42 142.250.191.234 142.251.34.234 142.250.191.170 142.251.32.10 142.250.190.74 142.250.191.106 142.250.191.202 142.250.190.42 172.217.2.42 142.250.190.10 142.250.191.138 142.250.190.138 142.250.190.106 172.217.1.106,5,300
